caseid,startindex,endindex,avgspeedmph,maxspeedmph,sddistancelocationsfeet,dwelltimeseconds,travmode
6544,19660,19835,3.91136366063636,8.899999619,373.066595490879,51.4444444444444,2
6600,19836,19845,1.9800000072,4,,61,1
6694,19846,20128,30.0964663875336,63.79999924,9802.97582440091,12,3
6723,20129,20144,1.500000015,2.400000095,,69,1
7032,20145,20239,23.3399999460105,46.59999847,2827.60171444308,14.3333333333333,3
7425,20240,20358,21.6235293852605,43.40000153,2678.29500096441,10.5,3
7557,20359,20429,15.556338001493,45.90000153,2190.03213553129,6.33333333333333,3
7677,20430,20447,1.31666666933333,1.899999976,,73,1
7830,20448,20489,1.57142857145238,3,56.6717185817536,274,1
7880,20490,20845,5.7803370762191,24.79999924,424.632002382516,32.2857142857143,2
8149,20846,20927,2.59756098,5.699999809,676.46272490882,189.5,1
8213,20928,21021,13.2361702599894,33.59999847,869.316992852116,16.75,5
8221,21022,21289,40.8074627725933,66.69999695,20858.0312574157,21.2,3
8614,21290,21398,31.7761467708165,49.20000076,3782.00273341567,15.2,3
8729,21399,21447,7.20204074304082,34.09999847,,14.5714285714286,5
8907,21448,21487,2.2049999864,4.199999809,,125,1
8952,21488,21547,10.8416667063333,25.5,,16.6,3
8966,21548,21637,15.8755555288,34,1745.81249462231,10.2222222222222,5
8969,21638,21745,12.8361111205741,38.40000153,1227.73287481367,19.875,5
8971,21746,21783,36.8000001629474,59.5,778.018468278755,3.5,7
8973,21784,21823,34.2575001394,56.90000153,,18.5,7
9007,21824,22016,30.7984457488135,51,5792.12400669016,8.85714285714286,3
9262,22017,22364,47.8635057635661,71.19999695,8687.21727501126,27,7
9270,22365,22760,45.1830806931843,70,7866.95597331685,16.5,7
9345,22761,22812,10.6326923027115,31.29999924,1253.02074443833,20.8,3
9477,22813,22849,4.47027022137838,11.69999981,185.169056958107,32.25,3
9652,22850,23343,40.3896760297632,68.90000153,29280.9575943835,15.0909090909091,5
9653,23344,23376,40.3848485879394,65.30000305,12561.3897190359,5,7
9665,23377,23400,2.15416669354167,5.800000191,,44.5,1
9864,23401,23413,2.67692307323077,5,60.154209334601,81,1
9952,23414,23790,6.74005306337401,17.70000076,3550.90330690459,9.03225806451613,2
10141,23791,23827,23.3459458734865,49.09999847,,8.5,3
10622,23828,23856,1.72758619541379,4,,96,1
10927,23857,23869,2.74615386815385,5.800000191,18.0972504912784,63,3
10941,23870,23885,1.8999999985625,3.299999952,,60,1
11187,23886,23901,2.0562500283125,3.200000048,,62,1
11576,23902,23914,1.96923077115385,3.700000048,7.6555701438787,67,1
11641,23915,23926,1.55833333725,2.400000095,42.2098637582362,81,1
11866,23927,24159,6.45450643920601,19.20000076,,22.5833333333333,2
11867,24160,24311,6.76776318878947,11.60000038,,6.25,2
12228,24312,24398,19.5390804366437,42.20000076,3218.36076877439,19.8,5
12283,24399,24442,5.74772727756818,12.60000038,247.280431105188,27.6666666666667,2
12284,24443,24566,6.33306452542742,10.89999962,,1.90909090909091,2
12462,24567,24904,46.0142010876302,70.69999695,9073.87512841169,19.8,7
12468,24905,25173,49.0754645878662,71.59999847,7706.85939756257,6.8,7
12470,25174,25566,18.0569974299313,43.70000076,3131.37058662295,22.5,5
12524,25567,26473,9.57276738257001,17.60000038,6979.51371196107,7.88235294117647,2
390,26474,26819,7.20953756950867,21.70000076,3584.4079869334,25.3684210526316,2
391,26820,27238,7.84940333330072,23.5,4039.26938062358,20.5714285714286,2
392,27239,27897,8.73232169133687,21.89999962,1994.64205539452,18.4571428571429,2
397,27898,28000,9.75631065974757,17.60000038,,5,2
399,28001,28049,7.23469388973469,16.29999924,943.722338243024,43.5,2
402,28050,28103,6.1555555287037,14.89999962,,19,2
404,28104,28191,8.43749998252273,18.39999962,1519.36858457355,22.8,2
405,28192,28345,6.54935064956493,15.80000019,1732.96587099633,20,2
499,28346,28596,30.3844621543267,69.69999695,7090.72763308993,31.6666666666667,7
507,28597,28783,33.5925132852888,68.59999847,2473.3495626184,18,7
541,28784,28941,11.7999999931329,36.09999847,864.412468520175,18.5333333333333,3
569,28942,29400,53.5694988447603,75.69999695,52301.9495216592,7,3
751,29401,29443,2.08372094748837,5.099999905,,75,1
781,29444,29580,44.6861312430511,60,5958.53046477924,10.5,7
841,29581,29830,44.975200105864,68.80000305,6785.94953068305,20.6,7
848,29831,30052,8.89324324254505,24.20000076,1268.7864128046,17.4285714285714,5
856,30053,30197,8.65586202662759,21.39999962,1000.4579216684,18.8,5
859,30198,30433,46.0478812846568,68.5,7291.73104847945,8.2,7
903,30434,30455,3.009090933,6.599999905,,33.5,1
1070,30456,30472,1.52352941035294,2.200000048,67.2587017367917,74,1
1107,30473,30611,17.5848920808633,37,3364.55386619854,17.4285714285714,5
1223,30612,31284,6.9176820430208,15,,8.68965517241379,2
12525,31285,32143,10.9061699494831,19.29999924,,1.2,2
12527,32144,33020,10.2879133515929,20.70000076,,3.2,2
12590,33021,33226,38.9669902168058,64.59999847,5502.16855504933,7.33333333333333,3
12792,33227,33360,24.8940298324254,42.59999847,,2.33333333333333,3
12797,33361,33366,1.63333336516667,2.900000095,6.28682615614124,52,1
12806,33367,33395,1.95172414286207,3.5,60.9140799038163,144,1
12847,33396,33569,33.3224136845632,67.90000153,2102.75909100008,13.25,3
13005,33570,33592,1.95652174443478,4.199999809,18.7385621955356,122,1
13061,33593,33991,19.3967418366817,49.70000076,4496.2073631607,11.1785714285714,5
13066,33992,34352,28.063434871,46.5,6692.84859623527,10.5384615384615,5
13068,34353,34660,35.0509739417338,68.19999695,4522.40311943128,16.8,7
13070,34661,35377,30.7704323770488,64.19999695,6156.57409634597,13.8095238095238,5
13077,35378,35659,41.1081560131099,70.19999695,3516.65533922449,12.25,7
13087,35660,36383,30.398204395297,64.59999847,6164.48516887562,14.2272727272727,5
13095,36384,36474,41.5153845694396,73.09999847,2365.82847454348,9,7
13104,36475,36707,35.6935622115622,69.69999695,3590.05287203983,9.25,7
13185,36708,36816,24.7229357332752,50.59999847,935.213025221627,27.2,3
13317,36817,37116,57.38600001333,71.19999695,,1,3
13551,37117,37176,5.64833333693333,16.5,598.727259731734,23.25,2
13557,37177,37244,5.09264704769118,12,,21.3333333333333,2
13604,37245,37535,42.2539519127835,67.69999695,10014.3577825415,51.4,7
13814,37536,37574,2.05128206046154,2.900000095,202.606961901993,149,1
13981,37575,37667,27.5978494131613,43.59999847,3014.61105905931,20.4,3
14082,37668,37684,2.15294120594118,3.700000048,,64,1
14193,37685,37714,1.8400000096,3.5,114.685922499031,136,1
14319,37715,37876,17.2456790201173,34.70000076,1838.76988029552,10.4,3
